unix,low,high,open,close,volume,date,vol_fiat
1635465600,60188.73,62974.0,60591.63,62276.72,15497.01101939,2021-10-29,965103016.0914656
1635379200,57653.88,62477.47,58462.73,60591.65,19354.49897509,2021-10-28,1172721027.824012
1635292800,58100.0,61488.0,60333.19,58455.47,18856.68565412,2021-10-27,1102276422.553842
1635206400,59837.07,63290.49,63081.96,60337.62,12181.48144997,2021-10-26,735001598.7653389
1635120000,60653.5,63726.58,60847.91,63083.54,10496.58058683,2021-10-25,662161461.3125137
1635033600,59522.89,61491.96,61300.02,60854.48,8573.72719199,2021-10-24,521749709.93041164
1634947200,59650.0,61750.0,60682.88,61300.01,6708.15013802,2021-10-23,411209670.5421274
1634860800,60000.0,63750.0,62204.01,60687.64,17217.70765017,2021-10-22,1044902043.4987628
1634774400,62050.0,66650.85,66021.26,62204.02,23474.39133313,2021-10-21,1460201507.973845
1634688000,63525.0,66999.0,64303.14,66026.54,19194.45410878,2021-10-20,1267343391.9915268
1634601600,61333.0,64500.0,62042.4,64303.14,17380.30486176,2021-10-19,1117608176.7684338
1634515200,59887.74,62675.19,61530.07,62042.41,19798.1489024,2021-10-18,1228324871.4437509
1634428800,58943.83,61744.17,60867.05,61527.11,9153.32273471,2021-10-17,563177494.764003
1634342400,60139.01,62350.0,61690.32,60877.42,10161.25819825,2021-10-16,618591183.0633085
1634256000,56867.11,62910.0,57359.51,61695.39,27105.19764492,2021-10-15,1672265739.730421
1634169600,56832.32,58520.71,57367.32,57359.51,12198.02457938,2021-10-14,699672712.841193
1634083200,54236.09,57771.33,56005.1,57367.32,14691.01338574,2021-10-13,842784066.02403
1633996800,53873.78,57674.55,57485.97,56005.1,15457.00896085,2021-10-12,865671332.5533004
1633910400,54411.54,57833.23,54683.09,57487.44,13422.42081815,2021-10-11,771620611.4381491
1633824000,54112.95,56545.24,54963.29,54690.53,9370.1912382,2021-10-10,512460725.0185142
1633737600,53675.0,55500.0,53965.18,54962.29,7123.05512404,2021-10-09,391499421.4134725
1633651200,53634.41,56113.0,53805.46,53963.82,12416.9019906,2021-10-08,670063463.9783801
1633564800,53379.0,55356.85,55346.95,53797.82,15820.83417633,2021-10-07,851126389.2680496
